pileup,weight,nevents,N_gen,gw_pos,gw_neg,muon_pt,muon_eta,muon_phi,muon_mass,met_pt,met_phi,met_eta,calo_met_pt,met_pt_pf,met_phi_pf,electron_pt,electron_eta,electron_phi,electron_mass,tau_pt,tau_eta,tau_phi,tau_mass,photon_pt,photon_eta,photon_phi,photon_mass,lead_jet_pt,lead_jet_eta,lead_jet_phi,lead_jet_mass,lead_jet_btag_csvv2,lead_jet_ch_hef,lead_jet2_pt,lead_jet2_eta,lead_jet2_phi,lead_jet2_mass,lead_jet2_btag_csvv2,lead_jet2_ch_hef,lead_jet3_pt,lead_jet3_eta,lead_jet3_phi,lead_jet3_mass,lead_jet3_btag_csvv2,lead_jet3_ch_hef,lead_jet4_pt,lead_jet4_eta,lead_jet4_phi,lead_jet4_mass,lead_jet4_btag_csvv2,lead_jet4_ch_hef
20.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],372.19134521484375,0.5172119140625,0.0,321.5,358.92340087890625,0.46026611328125,[8.1],[0.268],[-2.21],[0.000812],[],[],[],[],[],[],[],[],282.75,-2.1396484375,-2.736328125,19.90625,0.1287841796875,0.7890625,72.75,-0.2091064453125,-2.0810546875,12.921875,0.0924072265625,0.765625,21.25,-1.472900390625,2.0146484375,3.986328125,0.197509765625,0.640625,18.875,0.31597900390625,-2.13916015625,3.8125,0.1363525390625,0.625
26.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],334.8405456542969,-1.86962890625,0.0,292.0,326.4146423339844,-1.84228515625,[],[],[],[],[],[],[],[],[],[],[],[],303.75,-0.7215576171875,1.305908203125,13.8671875,0.0865478515625,0.65625,38.71875,0.672607421875,1.657470703125,6.2109375,0.1280517578125,0.6875,20.046875,0.26123046875,-0.35009765625,4.48828125,0.201904296875,0.6875,15.3203125,-0.616455078125,-0.508056640625,4.125,-10.0,0.26171875
26.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[3.79],[-0.977],[-0.211],[0.106],395.7697448730469,-0.708740234375,0.0,357.25,391.9486389160156,-0.694091796875,[5.5],[2.17],[1.96],[0.00328],[],[],[],[],[],[],[],[],422.5,-0.239471435546875,2.5634765625,23.515625,0.236572265625,0.40625,51.9375,1.385009765625,0.125335693359375,9.703125,0.59375,0.5546875,16.765625,2.28076171875,2.0458984375,4.29296875,0.54345703125,0.421875,16.140625,1.323974609375,0.6895751953125,3.76953125,0.6669921875,0.31640625
26.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],309.9932556152344,-1.230224609375,0.0,247.375,276.6085205078125,-1.280029296875,[6.7],[-2.17],[-0.429],[0.00696],[],[],[],[],[],[],[],[],296.25,-0.1693115234375,2.19384765625,27.078125,0.11749267578125,0.6328125,25.4375,-2.15185546875,-0.653076171875,6.703125,0.4228515625,0.6875,18.171875,-2.216796875,0.0135345458984375,3.427734375,-10.0,0.44140625,16.5,-0.887451171875,1.19140625,3.9296875,0.20654296875,0.53125
35.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],303.8262023925781,-3.14013671875,0.0,215.5,276.6085510253906,-3.05029296875,[],[],[],[],[],[],[],[],[18.8],[1.19],[2.51],[-4.77e-07],305.75,1.01025390625,-0.100921630859375,18.0625,0.45068359375,0.7265625,57.8125,1.091064453125,2.47705078125,11.671875,0.239990234375,0.173828125,17.359375,1.12646484375,0.5279541015625,2.822265625,0.1610107421875,0.8359375,17.15625,0.27130126953125,-0.28167724609375,4.1484375,0.1895751953125,0.6953125
28.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],355.3050842285156,0.512451171875,0.0,302.5,312.6371154785156,0.4173583984375,[],[],[],[],[],[],[],[],[],[],[],[],333.5,2.19189453125,-2.52978515625,38.9375,0.255126953125,0.6953125,32.46875,1.68017578125,2.5712890625,6.953125,0.6982421875,0.75,23.21875,-0.005904197692871,1.6103515625,4.24609375,0.52685546875,0.0986328125,15.0390625,0.8494873046875,1.921630859375,3.130859375,-10.0,0.0712890625
11.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],331.7945861816406,1.40869140625,0.0,265.75,344.355712890625,1.403564453125,[],[],[],[],[19.2],[-0.355],[-1.31],[1.56],[],[],[],[],239.625,-0.3975830078125,-1.810791015625,15.21875,0.1531982421875,0.5078125,49.03125,-0.38543701171875,-1.313232421875,7.30078125,0.10357666015625,0.42578125,33.28125,0.020263671875,-2.208984375,4.984375,0.1434326171875,0.5859375,16.5,1.43408203125,-0.8905029296875,3.27734375,0.1810302734375,0.7109375
33.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],327.94921875,-0.8291015625,0.0,235.25,313.7392883300781,-0.9173583984375,[],[],[],[],[],[],[],[],[],[],[],[],210.375,0.7452392578125,2.078125,29.609375,0.06622314453125,0.796875,90.9375,0.33935546875,-3.09423828125,10.984375,0.1392822265625,0.48046875,33.1875,1.255859375,1.247314453125,6.8046875,0.3564453125,0.5390625,31.1875,1.397216796875,1.891845703125,7.3046875,0.246337890625,0.36328125
24.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],332.39306640625,-1.869140625,0.0,256.5,317.1604309082031,-1.91357421875,[],[],[],[],[],[],[],[],[],[],[],[],261.5,0.98046875,1.495849609375,27.40625,0.2122802734375,0.7578125,37.90625,-1.623046875,0.593994140625,8.6484375,0.1256103515625,0.7578125,21.328125,1.387939453125,-1.089111328125,4.0234375,0.240234375,0.6875,18.375,0.4107666015625,0.9320068359375,3.76171875,0.2000732421875,0.609375
27.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],244.74850463867188,0.76513671875,0.0,159.625,229.4939727783203,0.8714599609375,[],[],[],[],[],[],[],[],[],[],[],[],238.125,-0.2220458984375,-2.53125,23.890625,0.06591796875,0.71875,29.609375,0.36138916015625,-0.5015869140625,7.0859375,0.2626953125,0.5234375,20.578125,0.26361083984375,3.08544921875,4.23046875,0.1278076171875,0.703125,18.46875,1.380859375,-0.533447265625,3.150390625,0.135009765625,0.78125
