pileup,weight,nevents,N_gen,gw_pos,gw_neg,muon_pt,muon_eta,muon_phi,muon_mass,met_pt,met_phi,met_eta,calo_met_pt,met_pt_pf,met_phi_pf,electron_pt,electron_eta,electron_phi,electron_mass,tau_pt,tau_eta,tau_phi,tau_mass,photon_pt,photon_eta,photon_phi,photon_mass,lead_jet_pt,lead_jet_eta,lead_jet_phi,lead_jet_mass,lead_jet_btag_csvv2,lead_jet_ch_hef,lead_jet2_pt,lead_jet2_eta,lead_jet2_phi,lead_jet2_mass,lead_jet2_btag_csvv2,lead_jet2_ch_hef,lead_jet3_pt,lead_jet3_eta,lead_jet3_phi,lead_jet3_mass,lead_jet3_btag_csvv2,lead_jet3_ch_hef,lead_jet4_pt,lead_jet4_eta,lead_jet4_phi,lead_jet4_mass,lead_jet4_btag_csvv2,lead_jet4_ch_hef
20.0,182.9345245361328,22707.0,13283.0,17995.0,4712.0,[],[],[],[],252.77333068847656,-0.964599609375,0.0,212.0,232.02598571777344,-1.136474609375,[5.9],[-1.08],[1.05],[-0.00377],[],[],[],[],[],[],[],[],236.875,0.35589599609375,2.306640625,18.078125,0.1334228515625,0.6484375,35.40625,0.6356201171875,-3.046875,4.95703125,0.53369140625,0.4453125,30.1875,-0.65625,-0.0092582702636718,5.5703125,0.52734375,0.25,28.578125,-1.077392578125,1.059326171875,5.66796875,0.13818359375,0.7890625
17.0,-182.9345245361328,22707.0,13283.0,17995.0,4712.0,[],[],[],[],289.29736328125,-1.36181640625,0.0,231.0,263.974853515625,-1.29541015625,[],[],[],[],[],[],[],[],[],[],[],[],247.375,0.753173828125,1.861083984375,17.40625,0.075439453125,0.7734375,30.546875,-0.0244216918945312,2.61328125,6.42578125,0.3642578125,0.201171875,22.34375,1.21435546875,1.242431640625,5.8984375,0.1661376953125,0.6953125,17.125,1.2587890625,0.2957763671875,3.755859375,0.5576171875,0.8125
17.0,182.9345245361328,22707.0,13283.0,17995.0,4712.0,[],[],[],[],265.4411315917969,0.249755859375,0.0,173.375,233.1849822998047,0.20135498046875,[],[],[],[],[],[],[],[],[],[],[],[],207.75,-0.5997314453125,-3.1025390625,23.046875,0.0670166015625,0.734375,39.84375,0.7852783203125,-1.46826171875,8.421875,0.16357421875,0.65625,20.296875,-0.0409393310546875,-2.85400390625,4.1484375,0.2239990234375,0.703125,17.484375,-0.3760986328125,-2.3681640625,4.21875,0.423828125,0.24609375
24.0,182.9345245361328,22707.0,13283.0,17995.0,4712.0,[],[],[],[],216.1470642089844,-3.03125,0.0,180.375,205.2357177734375,-3.109375,[],[],[],[],[21.6],[2.35],[1.86],[0.638],[],[],[],[],200.75,2.39599609375,-0.1590576171875,25.46875,0.59619140625,0.578125,53.4375,2.37939453125,1.84716796875,8.359375,0.6337890625,0.3125,27.203125,-0.979248046875,-1.486328125,5.94140625,0.529296875,0.22265625,17.78125,1.062255859375,-0.15460205078125,4.74609375,0.240966796875,0.36328125
22.0,182.9345245361328,22707.0,13283.0,17995.0,4712.0,[],[],[],[],286.0801696777344,2.76220703125,0.0,172.625,276.1470947265625,2.65087890625,[],[],[],[],[],[],[],[],[14.4],[-1.35],[-0.453],[0],219.5,-1.1357421875,-0.49884033203125,34.09375,0.70654296875,0.765625,29.984375,-1.625,-0.245574951171875,4.609375,0.74951171875,0.796875,17.453125,0.25677490234375,-0.0227203369140625,4.30859375,0.32080078125,0.375,15.7578125,-0.41131591796875,-2.8916015625,4.26953125,0.52685546875,0.38671875
20.0,182.9345245361328,22707.0,13283.0,17995.0,4712.0,[],[],[],[],267.4628295898437,2.51025390625,0.0,225.625,285.4612121582031,2.41748046875,[],[],[],[],[],[],[],[],[],[],[],[],231.5,1.3046875,-0.7203369140625,25.0625,0.1690673828125,0.26953125,29.671875,-1.567626953125,-2.0068359375,7.515625,0.456298828125,0.7734375,19.78125,0.8946533203125,0.0428390502929687,4.30859375,0.1812744140625,0.7578125,17.515625,-0.819580078125,1.306396484375,4.23046875,0.2135009765625,0.6953125
18.0,182.9345245361328,22707.0,13283.0,17995.0,4712.0,[],[],[],[],213.8672332763672,-2.42041015625,0.0,167.875,219.27024841308597,-2.4248046875,[],[],[],[],[],[],[],[],[],[],[],[],224.125,-1.625244140625,0.8157958984375,33.21875,0.458984375,0.453125,27.25,-1.44091796875,-3.04345703125,4.71875,0.10931396484375,0.8125,20.09375,0.9163818359375,-1.183837890625,2.849609375,0.131103515625,0.90625,16.171875,0.8251953125,1.327880859375,3.697265625,0.5322265625,0.359375
21.0,182.9345245361328,22707.0,13283.0,17995.0,4712.0,[3.08],[-1.11],[-2.91],[0.106],208.876953125,1.978271484375,0.0,178.25,225.66851806640625,2.0830078125,[],[],[],[],[],[],[],[],[],[],[],[],223.25,-0.5018310546875,-1.184326171875,19.6875,0.095947265625,0.40625,21.46875,-1.178955078125,-3.0810546875,4.703125,0.1387939453125,0.4140625,18.40625,1.255859375,-0.011178970336914,2.96484375,-10.0,0.0458984375,17.515625,1.673583984375,1.22314453125,4.08984375,0.2314453125,0.53125
36.0,182.9345245361328,22707.0,13283.0,17995.0,4712.0,[],[],[],[],207.23976135253903,2.666015625,0.0,244.25,283.3645324707031,2.828125,[],[],[],[],[],[],[],[],[],[],[],[],207.125,1.52001953125,-0.4256591796875,22.5,0.1312255859375,0.59375,30.921875,-1.557861328125,1.25634765625,5.5234375,0.54443359375,0.6875,18.1875,0.452880859375,-0.1337890625,4.2578125,0.529296875,0.193359375,15.453125,-0.947021484375,0.8243408203125,3.59375,-10.0,0.123046875
27.0,182.9345245361328,22707.0,13283.0,17995.0,4712.0,[],[],[],[],232.8352203369141,-2.19384765625,0.0,234.125,245.1791839599609,-2.12060546875,[],[],[],[],[],[],[],[],[],[],[],[],227.25,2.275390625,1.02978515625,18.046875,0.256591796875,0.5234375,27.75,1.37939453125,-1.2666015625,5.9140625,0.20166015625,0.65625,16.890625,0.4591064453125,-2.736328125,4.92578125,0.505859375,0.6484375,16.46875,1.59130859375,0.91015625,3.1484375,0.284912109375,0.3203125
